Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,98.550003,98.669998,96.779999,97.910004,87.957375,6863800
2016-01-12,98.800003,99.169998,97.279999,98.580002,88.559273,4457300
2016-01-13,99.000000,99.199997,95.779999,96.040001,86.277458,6163000
2016-01-14,96.360001,98.180000,95.330002,97.510002,87.598038,5085100
2016-01-15,95.050003,95.879997,94.220001,95.459999,85.756424,8101700
2016-01-19,96.570000,96.669998,94.500000,95.360001,85.666603,7435700
2016-01-20,94.000000,95.269997,91.790001,94.419998,84.822136,13844900
2016-01-21,94.699997,95.959999,93.820000,94.790001,85.154564,7169500
2016-01-22,96.330002,96.889999,95.949997,96.809998,86.969208,3701500
2016-01-25,96.639999,96.650002,95.110001,95.220001,85.540840,4470500
2016-01-26,95.599998,96.820000,95.440002,96.669998,86.843452,3333400
2016-01-27,96.400002,97.320000,95.050003,95.570000,85.855232,5202400
2016-01-28,96.559998,96.660004,95.050003,95.949997,86.196625,4540700
2016-01-29,96.449997,98.360001,96.349998,98.330002,88.334694,5005400
2016-02-01,97.750000,98.809998,97.370003,98.349998,88.352654,3868900
2016-02-02,97.500000,97.550003,96.160004,96.449997,86.645790,3279600
2016-02-03,97.089996,97.290001,94.889999,97.029999,87.166847,5457300
2016-02-04,96.790001,97.919998,96.470001,97.260002,87.373474,3431800
2016-02-05,96.940002,97.000000,94.949997,95.260002,85.576759,3993600
2016-02-08,94.199997,94.379997,92.500000,93.779999,84.247192,6303900
2016-02-09,92.839996,94.470001,92.699997,93.660004,84.139420,4793900
2016-02-10,94.190002,95.269997,93.620003,93.720001,84.193298,3580000
2016-02-11,92.389999,93.059998,91.580002,92.559998,83.151222,7239700
2016-02-12,93.470001,94.379997,93.010002,94.360001,84.768257,2948100
2016-02-16,95.620003,96.089996,94.959999,96.080002,86.313416,3577700
2016-02-17,96.769997,97.930000,96.589996,97.669998,87.741776,3635000
2016-02-18,97.900002,97.919998,97.089996,97.279999,87.391418,2432100
2016-02-19,96.849998,97.360001,96.430000,97.300003,87.409386,2243700
2016-02-22,98.239998,98.800003,98.110001,98.720001,88.685059,2235400
2016-02-23,98.379997,98.519997,97.470001,97.529999,87.616013,3203900
2016-02-24,96.580002,98.139999,95.989998,98.029999,88.065201,3253400
2016-02-25,98.269997,99.190002,97.820000,99.190002,89.107292,4961900
2016-02-26,99.669998,99.760002,98.959999,99.110001,89.035400,3194300
2016-02-29,99.120003,99.690002,98.320000,98.320000,88.325699,2749400
2016-03-01,99.129997,100.680000,98.839996,100.660004,90.427849,2955700
2016-03-02,100.519997,101.239998,100.260002,101.220001,90.930923,3591400
2016-03-03,101.129997,101.750000,100.849998,101.720001,91.380089,2703100
2016-03-04,101.889999,102.599998,101.400002,102.070000,91.694534,2442100
2016-03-07,101.650002,102.559998,101.559998,102.279999,91.883179,2963900
2016-03-08,101.730003,101.800003,100.910004,101.010002,90.742264,3436900
2016-03-09,101.500000,101.699997,100.980003,101.500000,91.182472,2131700
2016-03-10,101.800003,102.300003,100.400002,101.470001,91.155525,3702000
2016-03-11,102.370003,103.239998,102.330002,103.190002,92.700668,3253500
2016-03-14,102.879997,103.320000,102.690002,103.070000,92.592888,2987100
2016-03-15,102.000000,102.260002,101.760002,102.239998,92.276970,2992400
2016-03-16,101.989998,103.089996,101.910004,102.879997,92.854622,3473600
2016-03-17,102.870003,103.919998,102.599998,103.669998,93.567635,3472500
2016-03-18,103.949997,104.279999,103.800003,104.129997,93.982803,2942300
2016-03-21,103.980003,104.360001,103.800003,104.230003,94.073051,2539300
2016-03-22,103.750000,104.519997,103.610001,104.199997,94.045975,1962600
2016-03-23,104.040001,104.040001,103.279999,103.349998,93.278824,6087100
2016-03-24,102.760002,103.330002,102.529999,103.320000,93.251740,2173000
2016-03-28,103.580002,103.709999,103.070000,103.389999,93.314919,2103400
2016-03-29,103.190002,104.550003,102.959999,104.540001,94.352852,2925100
2016-03-30,105.040001,105.389999,104.730003,104.940002,94.713875,2258800
2016-03-31,104.970001,105.220001,104.699997,104.820000,94.605560,2230100
2016-04-01,104.300003,105.570000,103.949997,105.480003,95.201248,2996000
2016-04-04,105.489998,105.550003,104.889999,105.040001,94.804123,1847400
2016-04-05,104.309998,104.550003,103.870003,104.019997,93.883499,2572500
2016-04-06,104.089996,105.199997,103.900002,105.160004,94.912445,2572000
2016-04-07,104.500000,104.739998,103.440002,103.900002,93.775223,2134800
2016-04-08,104.570000,104.900002,103.910004,104.199997,94.045975,2337000
2016-04-11,104.650002,105.050003,103.910004,103.910004,93.784241,2276300
2016-04-12,104.099998,105.099998,103.779999,104.919998,94.695801,2358000
2016-04-13,105.500000,106.169998,105.430000,106.150002,95.805954,2864500
2016-04-14,106.239998,106.389999,105.900002,106.110001,95.769859,1666900
2016-04-15,106.120003,106.190002,105.870003,106.059998,95.724731,1622600
2016-04-18,105.739998,106.790001,105.610001,106.769997,96.365547,1767100
2016-04-19,107.019997,107.309998,106.610001,107.070000,96.636322,2103700
2016-04-20,107.209999,107.639999,106.830002,107.180000,96.735580,1958900
2016-04-21,107.260002,107.330002,106.480003,106.650002,96.257248,1675200
2016-04-22,106.510002,106.930000,106.239998,106.800003,96.392632,1893600
2016-04-25,106.500000,106.589996,106.059998,106.540001,96.157959,2088100
2016-04-26,106.779999,107.050003,106.440002,106.830002,96.419693,1747500
2016-04-27,106.660004,107.330002,106.419998,107.089996,96.654358,2267900
2016-04-28,106.629997,107.300003,105.870003,106.129997,95.787895,4834200
2016-04-29,105.800003,105.959999,104.809998,105.510002,95.228310,3068000
2016-05-02,105.800003,106.400002,105.470001,106.330002,95.968422,2546500
2016-05-03,105.620003,105.680000,104.820000,105.260002,95.002693,5172600
2016-05-04,104.760002,105.169998,104.370003,104.639999,94.443100,2578800
2016-05-05,104.949997,105.169998,104.370003,104.599998,94.407013,1616700
2016-05-06,104.139999,104.989998,104.000000,104.980003,94.749992,1759600
2016-05-09,104.870003,105.339996,104.769997,105.089996,94.849243,1747300
2016-05-10,105.500000,106.400002,105.410004,106.339996,95.977448,2400900
2016-05-11,106.089996,106.290001,105.339996,105.370003,95.101982,1531600
2016-05-12,105.820000,105.879997,104.720001,105.330002,95.065842,2470000
2016-05-13,105.080002,105.480003,104.220001,104.419998,94.244530,3754800
2016-05-16,104.580002,105.750000,104.410004,105.459999,95.183197,2069600
2016-05-17,105.260002,105.459999,104.160004,104.510002,94.325775,2792200
2016-05-18,104.510002,105.199997,103.820000,104.500000,94.316750,2797700
2016-05-19,104.080002,104.360001,103.370003,104.089996,93.946693,2616800
2016-05-20,104.540001,105.139999,104.449997,104.889999,94.668762,2005700
2016-05-23,104.919998,105.120003,104.660004,104.760002,94.551414,1662200
2016-05-24,105.220001,106.370003,105.220001,106.160004,95.815010,2409000
2016-05-25,106.510002,107.139999,106.510002,106.930000,96.509941,3266500
2016-05-26,107.019997,107.139999,106.730003,106.910004,96.491898,1803600
2016-05-27,106.970001,107.389999,106.949997,107.389999,96.925117,1691400
2016-05-31,107.570000,107.690002,106.959999,107.339996,96.880005,2570700
2016-06-01,107.000000,107.699997,106.800003,107.629997,97.141724,2679600
2016-06-02,107.400002,107.989998,107.110001,107.989998,97.466660,2112700
2016-06-03,107.779999,107.870003,106.940002,107.690002,97.195892,2502500
2016-06-06,107.839996,108.459999,107.800003,108.250000,97.701340,1782300
2016-06-07,108.389999,108.809998,108.320000,108.459999,97.890854,1271500
2016-06-08,108.610001,108.930000,108.500000,108.839996,98.233803,1286500
2016-06-09,108.449997,108.730003,108.220001,108.620003,98.035255,1743400
2016-06-10,107.779999,107.919998,107.160004,107.500000,97.024406,1666400
2016-06-13,107.150002,107.680000,106.589996,106.610001,96.221123,2354800
2016-06-14,105.900002,106.330002,105.360001,105.949997,96.047981,2170100
2016-06-15,106.190002,106.599998,105.739998,105.839996,95.948257,1841500
2016-06-16,105.300003,106.180000,104.699997,106.150002,96.229286,1884300
2016-06-17,106.120003,106.120003,105.389999,105.800003,95.912010,1713000
2016-06-20,106.930000,107.389999,106.459999,106.519997,96.564720,2402900
2016-06-21,106.800003,106.989998,106.389999,106.750000,96.773209,2248300
2016-06-22,106.800003,107.279999,106.440002,106.510002,96.555649,2002700
2016-06-23,107.419998,108.000000,107.139999,107.980003,97.888260,1622300
2016-06-24,104.120003,105.940002,103.860001,104.050003,94.325569,7370400
2016-06-27,103.220001,103.230003,101.510002,101.980003,92.449020,5213600
2016-06-28,103.080002,103.860001,102.830002,103.849998,94.144264,7569500
2016-06-29,104.680000,105.830002,104.650002,105.709999,95.830414,2635700
2016-06-30,106.010002,107.199997,105.620003,107.160004,97.144890,5552300
2016-07-01,107.160004,107.750000,107.070000,107.370003,97.335304,2938000
2016-07-05,106.940002,107.000000,106.139999,106.570000,96.610054,3019900
2016-07-06,106.199997,107.260002,105.879997,107.220001,97.199310,1767700
2016-07-07,107.370003,107.769997,106.750000,107.169998,97.153961,1669800
2016-07-08,107.910004,108.989998,107.860001,108.839996,98.667877,2362200
2016-07-11,109.190002,109.620003,109.000000,109.290001,99.075821,3868300
2016-07-12,109.879997,110.400002,109.680000,110.199997,99.900772,3222800
2016-07-13,110.430000,110.500000,109.809998,110.139999,99.846397,1485700
2016-07-14,110.720001,110.989998,110.459999,110.669998,100.326866,1561100
2016-07-15,110.889999,110.970001,110.290001,110.550003,100.218071,1385500
2016-07-18,110.650002,110.930000,110.440002,110.860001,100.499100,1359900
2016-07-19,110.620003,110.750000,110.400002,110.639999,100.299675,3154100
2016-07-20,110.680000,111.330002,110.660004,111.230003,100.834526,1135900
2016-07-21,111.180000,111.290001,110.519997,110.790001,100.435631,3393400
2016-07-22,110.900002,111.360001,110.709999,111.320000,100.916115,3546700
2016-07-25,111.239998,111.269997,110.690002,111.029999,100.653214,1394200
2016-07-26,111.059998,111.339996,110.629997,111.150002,100.762001,1432300
2016-07-27,111.410004,111.419998,110.559998,111.019997,100.644150,1977500
2016-07-28,110.889999,111.379997,110.660004,111.160004,100.771049,1945800
2016-07-29,111.089996,111.620003,110.820000,111.419998,101.006760,1638200
2016-08-01,111.400002,111.669998,111.000000,111.269997,100.870766,2093200
2016-08-02,111.190002,111.230003,109.949997,110.430000,100.109299,2473900
2016-08-03,110.389999,110.860001,110.209999,110.839996,100.480972,1353600
2016-08-04,110.849998,111.180000,110.690002,110.970001,100.598808,1113600
2016-08-05,111.419998,111.919998,111.320000,111.889999,101.432838,1379600
2016-08-08,111.989998,112.120003,111.690002,111.820000,101.369370,1238800
2016-08-09,111.940002,112.180000,111.750000,111.919998,101.460030,1032500
2016-08-10,111.940002,112.050003,111.419998,111.589996,101.160881,1259100
2016-08-11,111.980003,112.260002,111.730003,112.150002,101.668533,1378000
